,ci_test_results,z_test_results,z_test_p_values,mean_diff
MTHFD1,True,True,0.001,7.032
ELAVL1,False,False,0.994,-0.014
PCDHGA10,False,False,0.475,0.948
CHRM1,False,False,0.677,-0.517
NCALD,True,True,0.0,-24.095
P4HA3,False,False,0.953,-0.089
KRT31,False,False,0.118,1.384
SLCO1C1,False,False,0.864,0.246
MARCH9,True,True,0.0,9.962
EPN1,False,False,0.322,2.311
OR6A2,False,False,0.566,1.075
TGFB1,True,True,0.0,-98.238
XG,False,False,0.172,1.942
F11,False,False,0.785,0.398
SPIN4,False,True,0.037,-1.569
POU3F1,False,False,0.512,-0.915
CCL2,False,False,0.298,-29.35
UBE3A,False,False,0.327,-1.791
HOXC6,False,False,0.997,-0.008
MAP6D1,False,False,0.813,0.09
FOXA3,False,False,0.437,1.585
SEC14L3,False,False,0.574,0.238
GIMAP8,True,True,0.0,-8.938
CXCL3,False,False,0.995,0.023
RBM44,False,False,0.254,2.067
TNFRSF9,True,True,0.0,-7.223
TARBP2,False,False,0.796,-0.275
DALRD3,False,False,0.756,-0.435
IER3,False,False,0.085,-20.897
KPNA2,True,True,0.0,26.029
C15orf59,False,False,0.402,0.674
XKR3,False,False,0.75,-0.222
MALRD1,False,False,0.478,0.188
TXNDC17,False,True,0.049,-3.267
NKD1,False,False,0.885,0.084
POLR2G,True,True,0.0,-27.497
SPIRE2,False,False,0.103,4.14
TRIML1,False,False,0.622,1.062
LARS,False,False,0.068,3.977
SLC26A10,False,False,0.264,1.149
MED11,False,True,0.037,-3.093
FBXO16,False,True,0.036,1.521
POTEG,False,False,0.122,2.971
PDLIM7,False,False,0.406,-3.512
SNRPN,False,True,0.047,-9.687
ZC3HAV1,False,True,0.043,-6.328
TAS2R8,False,False,0.769,0.312
RPL37,True,True,0.0,209.611
SLC6A12,False,False,0.704,-0.52
TMED9,True,True,0.001,-17.684
STK11IP,True,True,0.0,-5.635
PRRC2A,False,False,0.444,1.715
SLC35A2,False,False,0.886,0.246
IMPG1,False,False,0.224,-0.64
SLCO3A1,False,False,0.09,-2.548
PTCH2,True,True,0.004,-1.042
NASP,False,False,0.057,-6.703
LHFPL1,False,False,0.667,-0.326
LACRT,False,True,0.044,-0.402
NCMAP,False,False,0.11,0.876
HRNR,False,False,0.923,0.066
RINL,True,True,0.0,-10.406
ADPRHL1,False,False,0.498,0.697
COPS8,False,False,0.055,-4.372
MTUS2,False,False,0.353,1.338
RRAD,False,False,0.652,-0.946
WAC,True,True,0.0,-10.479
TBC1D3K,False,False,0.772,0.414
ALDH4A1,False,False,0.131,-0.973
GJB4,False,False,0.304,1.286
WDR5B,False,False,0.386,-0.325
NKD2,True,True,0.008,3.269
COPA,False,False,0.082,4.12
MAU2,False,False,0.093,-1.76
ATF6,False,False,0.457,-0.434
NOD1,False,True,0.016,-1.36
PLS1,False,False,0.15,1.421
PGRMC2,False,False,0.541,1.605
ENY2,False,False,0.892,0.398
IFIH1,True,True,0.0,14.521
PRRG4,False,False,0.947,-0.02
NWD1,False,False,0.701,-0.29
GAS7,True,True,0.0,-12.972
GOLGA6A,False,False,0.625,-0.334
NUDT14,True,True,0.004,-3.48
KLHL28,True,True,0.001,-5.243
UBE3B,True,True,0.0,-3.205
PRMT7,True,True,0.0,-4.048
PDCD6,False,False,0.059,-5.667
CLK1,True,True,0.0,-23.558
CCDC176,False,False,0.096,-1.216
SURF4,True,True,0.0,-25.808
PSME2,True,True,0.0,-167.002
AVP,False,False,0.331,1.215
KRT77,False,False,0.734,-0.251
ADCK3,False,False,0.093,-1.64
MBD2,False,True,0.008,2.888
NR1D2,False,False,0.307,-1.083
C11orf74,False,False,0.089,-1.23
ATXN3L,False,False,0.448,0.907
SMS,False,False,0.196,6.213
ANXA10,False,False,0.164,3.239
PRAMEF15,False,False,0.219,-0.961
OR13C5,False,False,0.107,2.648
COL21A1,False,False,0.06,-0.655
FUT9,False,False,0.233,2.034
GTF2B,False,False,0.284,-1.773
ZFP41,False,False,0.071,-1.548
PACS2,True,True,0.0,-6.431
XRCC3,False,False,0.213,-1.268
ANKRD63,False,False,0.058,1.475
FKBP8,True,True,0.0,-38.819
DXO,False,False,0.156,1.881
FFAR1,True,True,0.001,7.116
PELO,True,True,0.005,-6.187
TMIGD1,False,False,0.26,0.649
STYXL1,True,True,0.0,-4.324
AP1B1,True,True,0.0,13.002
ZNF23,False,False,0.072,2.115
FAM89B,True,True,0.0,-10.429
MAMDC2,False,False,0.381,0.901
TUBA8,False,False,0.833,-0.144
ITGA11,False,False,0.772,0.674
KANSL3,False,True,0.009,-3.894
GBP2,True,True,0.0,-37.203
TMEM200B,False,False,0.898,0.085
PROM1,False,False,0.916,0.127
COL6A1,False,False,0.279,-16.242
TPH1,False,False,0.139,-0.774
PRKD2,False,False,0.597,2.287
MSMP,False,False,0.224,-17.712
FAM151A,False,False,0.555,0.66
RNF166,True,True,0.0,-116.101
CCDC166,False,False,0.275,-0.144
TMEM257,False,False,0.263,0.507
HBEGF,False,False,0.799,0.6
COPG2,False,False,0.166,1.134
FBXO6,True,True,0.0,-10.6
CPXM1,False,True,0.036,-3.593
ADPRHL2,False,False,0.985,-0.028
MAGEB18,False,False,0.28,1.727
SLC4A9,False,False,0.844,0.166
GRB7,False,False,0.817,-0.668
SLC13A4,False,False,0.629,-0.806
VPS29,True,True,0.005,-6.648
ZNF658,False,False,0.36,0.802
ACOT4,True,True,0.012,-3.084
FOLH1,False,False,0.624,-1.861
HEXIM1,True,True,0.0,-8.798
IFNA13,True,True,0.0,382.108
DOCK7,False,False,0.87,-0.195
ESPNL,False,False,0.078,1.015
PRR23D1,False,False,0.403,1.063
UFD1L,True,True,0.002,-11.219
UCMA,False,False,0.985,0.018
SMLR1,False,False,0.545,0.639
SLC17A1,False,False,0.376,2.477
KLHL4,False,False,0.979,-0.021
FANCD2OS,False,False,0.075,1.519
ALOX5AP,True,True,0.0,-119.457
LATS1,False,False,0.052,-1.827
TM2D2,False,False,0.14,-1.596
AJ239318.1,False,False,0.076,2.617
TFPI,False,False,0.962,0.233
G6PD,False,False,0.819,3.171
C9orf47,False,False,0.478,0.743
AC025048.1,False,False,0.262,-1.521
ZNF280B,False,False,0.861,-0.126
OPRL1,False,False,0.125,1.423
NSMCE4A,False,False,0.266,0.956
DEFA6,False,False,0.204,2.552
MRPL42,True,True,0.001,3.864
AIMP1,False,False,0.862,-0.429
CCT4,False,False,0.18,5.028
MOSPD2,False,False,0.292,-1.265
ABI3,True,True,0.0,-47.064
WI2-2610K16.2,False,False,0.097,3.27
DST,False,False,0.47,-2.557
HPGDS,False,False,0.058,1.129
RAB40A,False,False,0.745,0.548
SLC35E4,False,False,0.23,-1.077
GAL3ST1,False,False,0.779,0.467
ZMYND8,False,True,0.006,-9.598
DNAH2,False,False,0.745,0.217
AC012314.10,False,False,0.824,0.12
PPTC7,False,False,0.962,-0.056
GRHL2,False,False,0.548,-0.757
AGTR1,False,False,0.988,0.013
PAIP2B,False,False,0.093,0.498
TMEM41A,False,False,0.136,-1.151
PPP3R1,False,True,0.036,-2.747
EVX1,False,False,0.105,2.611
BBIP1,False,False,0.694,-0.472
KCNK1,False,False,0.481,0.833
FUT6,False,False,0.688,0.312
USP21,False,False,0.754,-0.521
AKAP12,False,False,0.603,1.548
LRRFIP1,True,True,0.004,-7.648
PRR26,False,False,0.701,0.233
SCAI,False,False,0.695,-0.352
CLCN1,False,False,0.901,0.151
SHE,False,False,0.12,-0.844
CALD1,False,False,0.492,-6.233
NPR1,False,False,0.807,-0.125
MAML2,False,False,0.451,0.497
OR8U1,False,False,0.125,1.319
REPS1,False,False,0.279,-1.793
NMB,False,False,0.681,0.858
KRTAP8-1,False,False,0.413,1.244
INADL,False,False,0.667,-0.769
CMBL,False,True,0.012,3.026
GOLGB1,False,False,0.057,-2.121
TUBA1A,False,False,0.119,-17.445
ST3GAL1,True,True,0.001,-9.718
SLC26A3,False,False,0.918,0.151
CPPED1,False,False,0.191,-3.596
USP17L20,False,False,0.278,1.06
TMC1,False,False,0.457,-0.989
KIAA1551,False,False,0.249,-5.688
EIF2S1,False,False,0.195,2.445
CFP,False,True,0.008,-9.357
POLR3K,False,False,0.4,0.833
RPS6KA6,False,False,0.727,-0.601
LURAP1,False,False,0.101,1.635
KCNMB2,False,False,0.609,-0.152
IER5,False,False,0.092,-4.782
MMP23B,True,True,0.0,-26.99
APCDD1L,False,False,0.535,-1.418
UBE2B,True,True,0.005,-7.902
ROBO4,False,False,0.127,-3.16
SATB2,False,False,0.241,-2.026
DBNDD1,True,True,0.005,4.858
STX12,False,False,0.925,0.13
GAPVD1,False,True,0.032,-1.949
RBM8A,True,True,0.0,-15.786
ATF5,True,True,0.0,28.105
TMEM206,False,False,0.417,-0.585
IFI44,False,False,0.72,1.923
MZT2A,False,False,0.777,0.842
CYB5R3,False,False,0.235,-5.797
ACOT2,False,True,0.029,-1.598
SPICE1,False,False,0.728,-0.282
TMEM5,False,False,0.121,1.783
ACOT8,True,True,0.0,-3.248
TTLL11,False,False,0.543,0.949
LGSN,False,False,0.361,0.664
SPATA2L,False,False,0.074,-2.359
PRPS2,False,False,0.918,0.645
GLTP,True,True,0.0,-13.05
C8orf86,False,False,0.545,0.883
HOOK3,False,False,0.608,-0.771
ANKS4B,False,False,0.51,-0.748
SENP3,False,False,0.179,2.646
TOPORS,False,False,0.115,-2.131
DYNC1LI1,False,False,0.551,1.187
FAM134B,False,False,0.706,-0.651
FLT3,False,False,0.592,-0.522
CLDN6,False,False,0.628,0.359
TLR4,False,False,0.065,-4.109
RBM43,False,False,0.702,0.88
PER1,True,True,0.002,-9.53
LARP6,False,False,0.267,1.694
FAM13C,False,False,0.586,-0.949
CREB3,False,False,0.496,-1.098
PPP2R5E,True,True,0.004,-3.416
ARSK,False,False,0.182,-1.517
KIF15,False,False,0.903,-0.122
BAHD1,True,True,0.0,-2.812
ASF1A,False,True,0.045,-2.786
ENTPD8,False,False,0.189,1.504
ANXA5,False,False,0.507,11.125
CNPY3,False,False,0.871,-1.164
ADM,False,False,0.868,-1.155
NXF5,False,False,0.32,1.772
ZNF707,False,True,0.024,-2.367
DBNDD2,False,True,0.007,-6.762
PNISR,False,False,0.314,3.682
AP4E1,False,False,0.116,-1.292
ADCK2,False,False,0.591,-0.552
MMP1,False,False,0.74,-13.972
DNPEP,False,False,0.213,-1.76
C11orf88,False,False,0.738,-0.463
KAT8,False,True,0.021,-2.094
CDC42EP2,False,False,0.83,0.342
S1PR3,False,False,0.586,-1.273
FGF5,False,False,0.704,0.361
INAFM1,False,False,0.812,0.328
GOLPH3L,False,False,0.899,-0.194
SPTLC2,False,False,0.082,-2.292
GFM1,False,False,0.89,-0.271
LRRK2,False,True,0.045,3.628
RRAGB,False,False,0.108,0.702
SULT6B1,False,False,0.149,1.002
MAP4K5,True,True,0.0,-4.852
POU4F2,False,False,0.125,0.244
FCRLA,True,True,0.0,55.128
ELMSAN1,False,False,0.485,0.805
TMEM128,False,False,0.157,-3.002
SHBG,False,False,0.632,0.676
NFRKB,False,False,0.74,-0.666
IRF8,False,False,0.242,75.398
PRRG1,False,False,0.136,1.54
AC073333.1,False,False,0.749,0.56
SENP8,False,False,0.36,-0.747
SEPT9,True,True,0.0,-79.264
ZKSCAN7,False,False,0.178,-0.56
FAM195A,False,False,0.24,1.206
SIK3,False,False,0.398,1.457
ZNF790,False,True,0.021,-1.4
ASPH,False,True,0.027,38.91
C1orf198,False,False,0.839,-0.236
NAA15,False,True,0.011,3.385
GIT1,True,True,0.0,-6.853
IL7R,False,False,0.411,-9.669
PTPN1,True,True,0.0,14.077
PIANP,False,False,0.084,1.516
CCDC60,False,False,0.607,0.458
FILIP1L,False,False,0.344,-1.593
AQP7,False,False,0.199,2.058
LRRC45,False,False,0.474,-1.027
NDE1,False,False,0.945,-0.107
PRDX6,False,False,0.829,0.937
OR51L1,False,False,0.527,0.559
NQO2,False,False,0.071,-4.089
U2SURP,True,True,0.001,-6.304
SLC6A6,False,True,0.038,-7.826
SCGB1D2,False,False,0.172,8.559
TBX6,False,False,0.139,1.873
FJX1,False,False,0.553,-0.658
TWIST1,False,False,0.974,-0.043
HIPK2,True,True,0.0,-8.219
PGAP1,False,False,0.73,-0.195
HSPB3,False,False,0.18,-1.697
RCBTB2,True,True,0.0,-9.86
SCRN1,True,True,0.0,7.856
CACNA2D4,False,False,0.764,0.311
USP6NL,True,True,0.0,12.165
GSK3B,True,True,0.0,-4.524
PLEKHJ1,False,False,0.153,-3.24
UBE2Q2L,False,False,0.119,-2.492
THUMPD3,False,False,0.468,-0.742
CXorf56,False,False,0.995,-0.009
STT3A,False,False,0.457,2.951
FBXL13,False,False,0.962,0.071
RP11-619A10.1,False,False,0.645,0.286
FDXACB1,False,False,0.763,0.192
FAM35A,False,False,0.669,-0.403
BHLHE23,False,False,0.324,1.604
SIGLEC12,False,False,0.6,0.394
RGL4,True,True,0.0,-4.893
ATP4B,False,False,0.723,-0.276
ATP4A,False,False,0.206,-0.316
DEFB127,False,False,0.213,0.819
WDR49,False,False,0.775,0.131
PAPSS1,True,True,0.002,3.581
OR6K2,False,False,0.227,1.323
LMAN2,True,True,0.0,-23.233
RHOBTB1,False,False,0.109,1.521
FCGR2A,False,False,0.061,-34.527
EIF4ENIF1,False,False,0.837,-0.292
HCK,False,False,0.614,2.682
TXNDC15,False,True,0.04,-3.048
TPO,False,False,0.642,-0.181
OR10G9,False,False,0.124,2.659
HNRNPCL2,False,False,0.118,2.956
SMIM24,False,False,0.983,-0.026
CLHC1,False,False,0.323,-0.683
HMHA1,True,True,0.0,-28.1
HACL1,False,False,0.605,0.658
AKAP4,False,False,0.152,1.653
WBSCR22,False,False,0.239,3.153
CAPZA1,False,False,0.422,3.69
LMO1,False,False,0.291,2.022
FAM26D,False,False,0.746,0.489
TTR,False,False,0.905,-0.19
EMILIN1,False,False,0.981,0.072
RPL18,True,True,0.0,328.295
DDX56,False,False,0.183,2.448
ZNF286A,False,False,0.118,-1.921
ENPP5,True,True,0.0,-4.235
TTLL9,False,False,0.141,-1.513
PTEN,False,False,0.85,0.574
LAMP1,True,True,0.0,-27.715
MAP1LC3C,False,False,0.691,0.219
RAB6B,False,False,0.124,1.881
OSMR,False,False,0.38,1.681
CHRNA9,False,False,0.668,0.388
WHAMM,True,True,0.0,-4.212
HOXA5,False,False,0.056,-1.696
SPECC1,True,True,0.0,-6.767
THUMPD2,False,False,0.954,0.022
DEPDC5,False,False,0.675,0.78
RNF133,False,False,0.14,3.718
ZBTB16,True,True,0.0,-27.429
CCDC181,False,True,0.036,1.811
METTL20,False,False,0.445,0.868
CST1,False,False,0.395,-9.372
MITF,False,False,0.621,0.852
LMNA,False,False,0.906,-1.506
EDIL3,False,False,0.74,-0.539
LCE1F,False,False,0.309,-0.585
SLC29A1,False,False,0.369,1.858
ATP10D,False,False,0.075,2.437
FITM1,False,False,0.144,-2.745
NGF,False,False,0.473,1.657
LCA5,False,False,0.364,-1.023
BDKRB2,False,True,0.032,2.054
WLS,False,False,0.755,0.754
CCNT2,False,False,0.084,-2.169
MYLK3,False,False,0.811,0.266
ELOVL1,True,True,0.0,-11.489
CT45A5,False,False,0.159,1.189
UTP20,False,False,0.839,0.375
RAB3IL1,False,False,0.646,0.471
XPO6,False,False,0.06,-20.436
ITGBL1,False,False,0.669,-1.444
N4BP3,False,True,0.029,4.093
WDR35,False,False,0.184,2.345
ENPP6,False,False,0.143,-1.892
CDK11A,False,False,0.461,-1.565
GNB2L1,True,True,0.0,289.006
FAM199X,False,True,0.028,-2.02
TMPPE,False,False,0.365,1.339
MED18,False,False,0.19,-1.825
B4GALT5,True,True,0.0,-6.053
ARHGEF15,False,False,0.215,2.345
MEGF8,False,False,0.672,1.071
RGS9,True,True,0.0,-5.566
CLDN10,False,False,0.088,-1.819
PRDX4,True,True,0.0,18.933
AC171558.2,False,False,0.506,0.275
VWDE,False,False,0.325,1.013
LYPD5,False,False,0.11,1.896
B3GALT4,True,True,0.0,-6.81
LACC1,False,False,0.834,0.372
MARCO,False,False,0.848,-0.501
ALDH1A2,False,False,0.563,-0.552
KRI1,True,True,0.0,-6.812
MOB1B,False,False,0.629,0.649
TCHP,True,True,0.006,-3.59
MAP4,False,False,0.709,-1.087
GLUD2,False,False,0.497,0.922
TCL1A,True,True,0.0,102.604
GEM,True,True,0.0,-9.339
MMP2,False,False,0.519,-18.247
YTHDF2,False,False,0.286,-2.354
LHCGR,False,False,0.051,1.085
TOMM7,False,False,0.997,-0.098
PQLC2L,False,False,0.517,1.316
ABCC10,True,True,0.0,-3.89
EPHB2,False,False,0.524,-0.702
KCTD9,True,True,0.0,-3.369
GPRC5D,True,True,0.0,9.008
NALP2,False,False,0.89,-0.26
PABPC4L,False,False,0.288,-1.963
S100A13,False,False,0.296,6.424
CALB1,False,False,0.778,-0.642
RIPPLY1,False,False,0.102,1.4
CTAG1A,False,False,0.983,0.05
CSNK1G1,False,True,0.042,-1.417
HPS1,False,False,0.709,-0.428
ZNF836,False,True,0.021,-3.8
CLIP2,False,False,0.187,1.225
RPA4,False,False,0.11,-0.3
OR10P1,False,False,0.078,2.487
ZSCAN29,False,True,0.025,-1.615
RNF168,True,True,0.003,-2.342
PLEKHO1,True,True,0.0,13.244
IFNA4,True,True,0.0,171.096
LAMA3,False,False,0.572,-1.454
SP5,False,False,0.789,0.184
ATP1B3,False,True,0.036,-12.476
PRR20D,False,False,0.417,0.245
PDSS2,False,False,0.586,0.75
TMEM232,False,False,0.246,1.855
C1RL,False,False,0.056,-4.028
NUCKS1,False,False,0.118,3.649
DDX41,True,True,0.0,-53.671
OR52A1,False,False,0.308,-1.117
CYP2S1,False,False,0.143,3.669
BANF1,False,False,0.66,-1.736
LPXN,True,True,0.0,-20.902
FAM126B,False,False,0.438,-0.997
FAM161B,False,False,0.175,1.795
PPP1R16B,False,True,0.019,-6.003
ZNF674,False,False,0.547,-0.152
LIMK2,False,False,0.321,-2.487
TRPV2,True,True,0.0,-24.551
NR3C2,False,False,0.269,1.236
KCNJ12,False,False,0.445,0.306
KCNB2,False,False,0.621,-0.409
XRCC1,True,True,0.0,-3.785
SLC7A8,False,False,0.277,2.101
CBFA2T2,True,True,0.001,-2.112
RGS1,False,False,0.113,-31.128
GFER,True,True,0.0,-4.1
CSRNP2,False,False,0.271,-1.249
NR1H3,False,False,0.198,-2.485
SNW1,True,True,0.0,-6.023
SOX18,False,False,0.284,-1.584
C10orf128,False,False,0.082,-3.538
EZR,True,True,0.0,192.691
THAP10,False,False,0.956,0.083
OR51J1,False,False,0.57,0.674
AC243586.1,False,False,0.157,1.393
HMP19,False,False,0.498,0.363
INS-IGF2,False,False,0.567,-0.371
GPA33,False,False,0.124,2.234
COMTD1,False,False,0.517,-0.882
UGGT2,False,False,0.501,-0.61
KBTBD11,False,False,0.09,2.078
PTF1A,False,False,0.496,0.925
SNX10,False,False,0.858,0.471
NME8,True,True,0.005,-4.846
RCAN3,True,True,0.001,5.278
HIC2,False,False,0.09,-1.099
ZNF264,True,True,0.0,-3.785
WDR20,False,False,0.106,-2.349
CDKL2,False,False,0.274,1.253
GRHL1,False,False,0.892,-0.258
SDC4,False,False,0.663,-1.698
SAP30,False,False,0.312,-1.139
CLNK,False,False,0.194,-0.809
SIDT2,True,True,0.0,12.432
C6orf89,True,True,0.0,-4.892
TBXAS1,True,True,0.0,-12.313
CHRND,False,False,0.359,-0.218
NEMP1,True,True,0.0,3.777
ACO2,True,True,0.003,3.794
TLR9,False,False,0.397,1.033
SPPL2A,True,True,0.0,-15.364
NLK,False,True,0.031,3.051
KIR3DL1,True,True,0.0,-24.473
GLIPR2,True,True,0.0,-57.285
NTN1,False,False,0.692,0.496
CORO1C,False,False,0.093,9.088
THAP3,False,False,0.66,-0.584
DNMT3B,False,False,0.456,0.624
TPTE,False,False,0.076,1.383
AMY2A,False,False,0.542,-0.412
UQCRH,True,True,0.0,52.941
CEP63,False,True,0.012,-4.036
SQSTM1,False,False,0.539,-14.787
ARMCX3,False,False,0.703,0.85
MFSD8,False,False,0.951,-0.04
WNT9B,False,False,0.888,-0.226
OR4C3,False,False,0.411,1.205
ITPKC,False,False,0.707,-0.512
MAML3,False,False,0.384,1.171
RPL3,True,True,0.0,389.158
GDE1,False,False,0.124,-2.367
SDR16C5,False,False,0.52,1.056
MTIF2,False,False,0.199,-1.365
FAM209A,False,False,0.318,-0.782
DCAF8L2,False,False,0.56,0.519
ATP6V1E1,True,True,0.003,-8.414
ZFPL1,False,False,0.064,-6.88
CTDSPL,False,False,0.133,3.176
LRRC49,False,False,0.78,0.281
SPEF1,False,False,0.257,1.123
SLC35C1,True,True,0.004,-2.043
ATP5L,False,False,0.866,0.396
MORN4,False,False,0.088,2.094
MESP1,False,False,0.807,0.394
MLF1,False,False,0.821,0.279
RNF170,False,False,0.097,-3.294
MYOCD,False,False,0.948,0.026
MTO1,False,False,0.508,-1.379
ADAMTS4,False,False,0.418,-1.151
PCNT,True,True,0.0,-7.725
OR6C3,False,False,0.382,1.408
SLC12A3,False,False,0.889,-0.254
PSME3,False,True,0.039,4.958
ASPSCR1,False,False,0.375,-0.908
ADPGK,False,False,0.176,-1.931
SRD5A3,True,True,0.006,3.917
USP2,False,False,0.302,1.871
SPEF2,False,False,0.282,-1.118
SSX4,False,False,0.518,-0.436
FERD3L,False,False,0.8,-0.038
ZNF28,True,True,0.0,-2.005
MAMSTR,False,False,0.125,1.287
pk,False,False,0.708,0.385
PDE4D,True,True,0.0,-13.832
ZBED1,False,False,0.651,-0.636
RBM23,True,True,0.001,-5.808
ZNF79,False,True,0.042,-1.876
NNAT,False,False,0.767,0.724
MST1R,False,False,0.848,0.198
RPS4X,True,True,0.0,208.176
RAMP3,False,False,0.157,-3.036
KCNB1,False,False,0.986,0.012
PLA2G2D,True,True,0.005,2.763
TUBB2A,False,False,0.315,-2.465
GFI1,True,True,0.0,-14.98
SLC35F4,False,False,0.587,0.591
RPL24,True,True,0.0,166.804
EFEMP1,False,False,0.932,1.78
LEFTY1,False,False,0.205,-0.691
MOCS2,False,False,0.527,-0.746
KRTAP3-3,False,False,0.174,2.375
SLC15A4,True,True,0.0,-10.52
EDA2R,False,False,0.736,-0.196
SIX2,False,False,0.314,1.022
UBL5,True,True,0.0,-43.123
KCND2,False,False,0.432,1.43
KIAA0825,False,True,0.029,-3.733
CCT8,True,True,0.0,17.084
MLLT3,True,True,0.0,-5.978
ELP4,False,False,0.884,-0.168
PRDM12,False,False,0.621,0.443
TM2D3,True,True,0.0,-4.953
TRIM58,False,True,0.027,3.907
SMO,False,False,0.953,-0.045
LGR4,False,False,0.156,1.806
CSNK1A1,False,True,0.005,-10.126
AGAP4,True,True,0.005,-2.369
WFDC6,False,False,0.299,-2.048
OR52B2,False,False,0.105,1.967
PTPRU,False,True,0.034,2.182
USP20,True,True,0.0,-7.364
PPP1R3D,False,False,0.133,-1.702
OSGIN2,False,False,0.65,-0.8
FBXO43,False,False,0.343,0.86
TDRD15,False,False,0.075,1.726
CLEC12B,False,False,0.361,-1.765
ABHD17B,False,False,0.074,-3.644
TIMELESS,False,False,0.055,4.581
REPS2,False,False,0.799,0.213
PATZ1,False,False,0.192,1.992
TPSG1,False,False,0.731,0.242
RNF181,True,True,0.0,-22.158
COLCA2,True,True,0.0,2.433
UBXN8,False,False,0.573,0.494
NXF2,False,False,0.424,-0.555
FCN3,False,False,0.423,-2.175
TNFRSF1A,True,True,0.0,-16.243
C11orf98,True,True,0.0,-14.042
HSPA8,False,True,0.022,-93.025
HMGA1,True,True,0.005,53.267
RCC1,False,False,0.123,3.008
DSP,False,False,0.389,1.729
NNT,False,False,0.745,-0.438
OR13C8,False,False,0.548,0.923
RSAD2,False,False,0.67,6.031
UGT3A1,False,False,0.721,0.178
DGKZ,True,True,0.0,-85.402
DDIT4L,False,False,0.693,0.417
BRS3,False,False,0.279,-0.392
MUS81,True,True,0.0,-6.51
AC012314.35,False,False,0.854,-0.309
CPXM2,False,False,0.899,0.073
SPDYE2,False,False,0.329,-1.034
BOLA2,False,False,0.258,1.743
CCER1,False,False,0.662,-0.31
GJA9,False,False,0.297,1.24
PCDHA12,False,False,0.954,0.057
TAS2R19,False,False,0.863,-0.095
METRN,False,False,0.807,-0.607
IL1RAPL2,False,False,0.16,2.545
COL22A1,False,False,0.948,0.079
EIF1B,True,True,0.0,18.4
ADAD1,False,False,0.691,-0.436
FCHSD1,True,True,0.0,-12.245
CDK18,False,False,0.286,-0.633
CHST9,False,False,0.412,1.044
DDX10,False,False,0.256,2.2
VNN1,False,False,0.639,-0.445
FSD2,False,False,0.695,-0.48
CSRNP1,True,True,0.0,-15.714
EGLN1,False,False,0.361,-0.576
NOB1,False,True,0.022,3.403
MYO1D,False,False,0.052,2.811
EXOC3,False,False,0.12,-2.68
CCDC97,True,True,0.0,-7.025
LINGO2,True,True,0.0,-3.822
DDOST,True,True,0.002,-16.344
KCNG3,False,False,0.938,-0.076
ZDHHC12,False,False,0.163,-2.48
ZNF446,False,False,0.936,0.087
PROS1,False,False,0.162,2.101
HIP1R,True,True,0.0,22.736
PARP4,True,True,0.0,-7.334
TCHH,False,False,0.256,1.694
RIBC1,False,False,0.696,-0.705
DDX51,False,False,0.233,1.208
GNRH2,False,False,0.323,-1.046
OR10A6,False,False,0.209,1.399
ZNF706,True,True,0.0,18.761
BCL2L2-PABPN1,False,True,0.038,-2.473
ZFAND2A,True,True,0.0,-20.306
SOX21,False,False,0.276,0.63
DAZ2,False,False,0.756,-0.108
FMNL2,False,False,0.104,1.302
PLEKHO2,True,True,0.0,-10.614
CMKLR1,True,True,0.0,-12.895
PTGS2,False,False,0.189,4.707
DISP1,False,False,0.239,-1.575
PCDHGB4,False,False,0.344,2.198
KAT5,True,True,0.004,-4.82
CMTM2,False,False,0.356,0.814
SDHA,False,False,0.124,-3.942
HP,False,False,0.522,1.86
DCTN4,False,False,0.831,0.398
COL14A1,False,False,0.649,-1.213
TMEM254,False,True,0.032,-1.901
TMEM185A,True,True,0.0,-4.316
CCL23,False,False,0.208,2.214
HOXB6,False,False,0.364,-0.997
RBM39,True,True,0.0,-24.012
RPS10,True,True,0.0,436.248
DDHD1,False,False,0.469,-1.156
CFB,False,False,0.529,2.796
IRGQ,False,False,0.751,-0.45
OR1F1,False,False,0.717,-0.421
RP11-176H8.1,False,False,0.068,-3.285
MED12,True,True,0.001,-4.841
AC004853.1,False,False,0.777,0.297
OR6C2,False,False,0.273,-0.605
TMOD2,True,True,0.0,1.33
VASP,True,True,0.002,-19.305
USP17L2,False,False,0.306,1.75
BRCC3,True,True,0.0,-3.564
FAM49B,True,True,0.0,-66.39
LRRC17,False,False,0.215,1.707
NAGK,False,False,0.433,3.091
ORC2,False,True,0.032,-3.32
AC004076.9,False,False,0.118,1.763
CTC1,False,True,0.013,-4.645
CKAP2,False,True,0.027,3.399
GRAMD1A,False,False,0.23,-1.654
RBBP4,False,False,0.839,-0.751
AC009022.1,False,False,0.366,-0.595
ADGRG7,False,False,0.402,0.431
ZCWPW1,False,False,0.52,0.382
HMGCS2,False,False,0.885,-0.18
UCN2,False,False,0.764,0.472
SUMF1,False,True,0.015,-3.291
PPM1D,False,False,0.785,-0.236
IPO11,False,False,0.936,0.127
SLC29A2,False,True,0.014,2.103
EXOG,False,True,0.026,-4.855
RFK,False,False,0.735,0.402
TLR1,False,False,0.796,0.604
SLC25A1,False,True,0.008,6.028
SSC4D,False,False,0.822,0.295
KRTAP5-7,False,False,0.283,-2.141
EXOSC3,False,False,0.809,-0.325
HOXA1,False,False,0.256,-0.443
PIBF1,False,False,0.703,-0.539
RBP4,False,False,0.916,-0.283
TM6SF1,False,False,0.247,-1.961
TNC,False,False,0.711,2.768
PCDHGB3,False,False,0.361,-0.813
