,ci_test_results,z_test_results,z_test_p_values,mean_diff
DYM,False,True,0.011,-3.296
UBE2H,False,False,0.118,3.34
BCL2A1,True,True,0.001,38.832
ZNF329,False,True,0.016,-1.456
OR11H12,False,False,0.537,0.932
PDE12,False,False,0.598,0.606
HELT,False,False,0.616,-0.457
SERF2,True,True,0.0,-117.075
F9,True,True,0.01,-1.967
SPR,False,True,0.018,3.162
RP4-559A3.7,False,False,0.569,0.456
UBQLN3,False,False,0.789,-0.221
XRN1,False,False,0.908,0.183
ITPKB,True,True,0.0,-9.292
ESCO1,True,True,0.012,-2.531
SIRPD,False,False,0.479,0.716
TRIM51,False,False,0.172,-2.476
NDUFS5,False,True,0.041,-21.008
HOOK2,False,False,0.602,0.636
ETFDH,False,False,0.847,-0.289
NUPR1L,False,False,0.993,-0.015
PCNA,False,False,0.609,-2.887
SLC19A1,False,False,0.083,1.76
FAM19A1,False,False,0.72,-0.451
MED4,True,True,0.0,-9.262
FOXB2,False,False,0.093,2.234
TMEM139,False,False,0.122,3.66
LARP1,False,False,0.245,3.349
PIK3CD,True,True,0.0,-23.499
SET,False,False,0.276,-10.609
SRY,False,False,0.293,1.425
MBTD1,False,False,0.46,-0.518
PYCRL,False,False,0.287,1.549
STEAP3,False,False,0.681,0.405
ZNF721,False,False,0.857,-0.258
CCDC17,False,False,0.219,1.144
TSPYL4,True,True,0.0,-2.871
ADCY7,True,True,0.0,-58.244
MRPS15,False,False,0.578,1.189
PDGFA,False,False,0.563,0.979
MTX2,False,False,0.204,1.858
GRID2,False,False,0.242,1.122
MARVELD1,False,False,0.221,2.677
CHRNA6,False,False,0.06,-2.086
JAK3,True,True,0.0,-5.763
PPARD,False,True,0.008,3.312
LCN2,False,False,0.237,-39.844
ITGA1,True,True,0.0,-3.29
CMTM3,True,True,0.0,-34.905
TST,False,True,0.018,-3.235
RERGL,False,False,0.091,-1.616
CERK,True,True,0.0,-8.363
OR14A16,False,False,0.391,0.699
TRNT1,False,False,0.103,2.066
PAXBP1,False,True,0.014,-2.894
ZNF580,False,False,0.27,1.817
GAL3ST2,False,False,0.127,2.063
CCDC154,False,False,0.128,0.72
IL22,False,False,0.359,0.939
UNC93A,False,False,0.386,-0.595
SLC3A2,False,False,0.764,-3.387
MPP4,False,False,0.584,0.683
AP1S3,True,True,0.0,4.78
TRIM71,False,False,0.526,0.149
HINT1,False,True,0.013,20.345
TAP1,False,True,0.009,-17.394
RHCE,False,False,0.511,-0.82
LCN15,False,False,0.918,-0.21
TNNI3K,False,False,0.639,-0.726
ERCC6L,False,False,0.218,0.896
PITX3,False,False,0.275,1.426
DEFB1,False,False,0.602,1.028
CDO1,False,False,0.384,1.748
TBC1D31,True,True,0.0,-15.66
SRF,True,True,0.002,-3.672
CEP95,False,False,0.835,-0.292
APOBEC3D,True,True,0.0,-8.443
DMGDH,False,False,0.498,-0.225
AC012314.13,False,False,0.247,1.099
SORCS2,False,False,0.454,0.427
TCIRG1,True,True,0.0,-135.793
PRAMEF7,False,False,0.774,0.377
SPINK9,False,False,0.899,-0.125
PDE6D,True,True,0.003,-2.852
CLEC4D,False,False,0.051,-1.199
ZNF703,False,False,0.172,2.172
GPR157,False,False,0.815,-0.503
IGHMBP2,False,False,0.959,0.076
RRN3,True,True,0.0,-6.413
UBE2G2,False,False,0.863,-0.301
